file	percent	reads	taxon_id	taxon_name
ERR10036469.out	30.139774	50083087	74968	Ferroplasma
ERR10036469.out	22.916239	38079781	119977	Acidithiobacillus
ERR10036469.out	19.518358	32433543	1763	Mycobacterium
ERR10036469.out	1.196206	1987729	507753	Acidiplasma
ERR10036469.out	0.541202	899313	2302	Thermoplasma
ERR10036469.out	0.455249	756485	1747777	Cuniculiplasma
ERR10036469.out	0.360410	598891	46631	Picrophilus
ERR10036469.out	0.283936	471815	1866885	Mycolicibacterium
ERR10036469.out	0.136552	226908	286	Pseudomonas
ERR10036469.out	0.131104	217854	28033	Sulfobacillus
ERR10036469.out	0.123883	205856	1883	Streptomyces
ERR10036469.out	0.076975	127909	482135	Thermogymnomonas
ERR10036469.out	0.070029	116367	121038	Ferrimicrobium
ERR10036469.out	0.069024	114697	1827	Rhodococcus
ERR10036469.out	0.068017	113023	2490204	Candidatus Mancarchaeum
ERR10036469.out	0.062992	104674	1073531	Mycolicibacter
ERR10036469.out	0.049892	82906	1817	Nocardia
ERR10036469.out	0.046409	77117	670516	Mycobacteroides
ERR10036469.out	0.040797	67792	919	Thiobacillus
ERR10036469.out	0.039770	66085	44249	Paenibacillus
ERR10036469.out	0.039380	65437	32008	Burkholderia
ERR10036469.out	0.037113	61671	109262	Halothiobacillus
ERR10036469.out	0.036895	61309	522	Acidiphilium
ERR10036469.out	0.033235	55226	32012	Thiomonas
ERR10036469.out	0.031872	52961	12914	Acidianus
ERR10036469.out	0.030719	51045	2207	Methanosarcina
ERR10036469.out	0.027899	46360	1822464	Paraburkholderia
ERR10036469.out	0.025567	42484	1870884	Clostridioides
ERR10036469.out	0.024405	40553	1765964	Acidihalobacter
ERR10036469.out	0.023862	39652	445	Legionella
ERR10036469.out	0.023019	38250	1485	Clostridium
ERR10036469.out	0.022832	37940	1386	Bacillus
ERR10036469.out	0.022385	37197	2013	Nocardiopsis
ERR10036469.out	0.022183	36861	179	Leptospirillum
ERR10036469.out	0.021645	35968	2284	Sulfolobus
ERR10036469.out	0.021012	34916	1839	Nocardioides
ERR10036469.out	0.019863	33007	1716	Corynebacterium
ERR10036469.out	0.019617	32598	53634	Acidimicrobium
ERR10036469.out	0.018672	31027	469	Acinetobacter
ERR10036469.out	0.018259	30341	182639	Kribbella
ERR10036469.out	0.018070	30027	149698	Massilia
ERR10036469.out	0.017844	29651	106589	Cupriavidus
ERR10036469.out	0.017781	29546	1847	Pseudonocardia
ERR10036469.out	0.017546	29156	643949	Ferrithrix
ERR10036469.out	0.016965	28190	642	Aeromonas
ERR10036469.out	0.016755	27842	1663	Arthrobacter
ERR10036469.out	0.016723	27788	1813	Amycolatopsis
ERR10036469.out	0.016653	27672	1609233	Acidithrix
ERR10036469.out	0.016121	26788	65047	Mitsuaria
ERR10036469.out	0.015369	25538	164450	Vulcanisaeta
ERR10036469.out	0.015231	25309	379546	Aciduliprofundum
ERR10036469.out	0.014875	24718	29330	Alicyclobacillus
ERR10036469.out	0.014421	23964	570	Klebsiella
ERR10036469.out	0.014258	23692	379	Rhizobium
ERR10036469.out	0.014248	23676	2745	Halomonas
ERR10036469.out	0.014072	23383	986106	Acidiferrobacter
ERR10036469.out	0.013801	22933	231454	Dyella
ERR10036469.out	0.013317	22128	1854	Frankia
ERR10036469.out	0.012828	21316	1873	Micromonospora
ERR10036469.out	0.012559	20869	338	Xanthomonas
ERR10036469.out	0.012308	20452	914	Nitrosomonas
ERR10036469.out	0.012268	20385	848	Fusobacterium
ERR10036469.out	0.012257	20368	1678	Bifidobacterium
ERR10036469.out	0.011778	19571	68287	Mesorhizobium
ERR10036469.out	0.011731	19493	1865	Actinoplanes
ERR10036469.out	0.011609	19290	2053	Gordonia
ERR10036469.out	0.011351	18862	92793	Aquabacterium
ERR10036469.out	0.011281	18746	561	Escherichia
ERR10036469.out	0.011277	18739	329162	Chroogloeocystis
ERR10036469.out	0.011174	18567	364316	Verminephrobacter
ERR10036469.out	0.010946	18189	2005359	Faecalicatena
ERR10036469.out	0.010708	17794	2804231	Lederbergia
ERR10036469.out	0.010679	17745	1988	Actinomadura
ERR10036469.out	0.010628	17660	200414	Caldisphaera
ERR10036469.out	0.010422	17319	450526	Trichocoleus
ERR10036469.out	0.010397	17276	13687	Sphingomonas
ERR10036469.out	0.010230	16999	48736	Ralstonia
ERR10036469.out	0.010123	16821	662758	Candidatus Parvarchaeum
ERR10036469.out	0.010097	16778	40323	Stenotrophomonas
ERR10036469.out	0.009906	16460	374	Bradyrhizobium
ERR10036469.out	0.009788	16264	237	Flavobacterium
ERR10036469.out	0.009741	16186	662	Vibrio
ERR10036469.out	0.009539	15851	416	Methylomonas
ERR10036469.out	0.009371	15571	29580	Janthinobacterium
ERR10036469.out	0.009305	15462	83681	Nonomuraea
ERR10036469.out	0.009290	15437	47251	Leptolyngbya
ERR10036469.out	0.009241	15355	165696	Novosphingobium
ERR10036469.out	0.009096	15115	75309	Rhodanobacter
ERR10036469.out	0.008984	14929	41980	Metallosphaera
ERR10036469.out	0.008900	14789	84406	Virgibacillus
ERR10036469.out	0.008851	14707	5506	Fusarium
ERR10036469.out	0.008850	14706	2742	Marinobacter
ERR10036469.out	0.008822	14660	1152	Pseudanabaena
ERR10036469.out	0.008784	14597	1186	Calothrix
ERR10036469.out	0.008773	14578	665874	Limnohabitans
ERR10036469.out	0.008661	14392	34072	Variovorax
ERR10036469.out	0.008334	13848	29548	Rhodothermus
ERR10036469.out	0.008276	13752	416212	Ferrovum
ERR10036469.out	0.008216	13652	1835	Saccharopolyspora
ERR10036469.out	0.008143	13532	662756	Candidatus Micrarchaeum
ERR10036469.out	0.008087	13438	1551504	Candidatus Babela
ERR10036469.out	0.007962	13230	119979	Thermithiobacillus
ERR10036469.out	0.007858	13058	222	Achromobacter
ERR10036469.out	0.007717	12823	114248	Tepidimonas
ERR10036469.out	0.007686	12772	52972	Polaromonas
ERR10036469.out	0.007605	12638	33882	Microbacterium
ERR10036469.out	0.007556	12556	33057	Thauera
ERR10036469.out	0.007548	12543	12916	Acidovorax
ERR10036469.out	0.007469	12411	46913	Devosia
ERR10036469.out	0.007392	12284	327159	Candidatus Accumulibacter
ERR10036469.out	0.007383	12268	429	Methylobacter
ERR10036469.out	0.007317	12158	173479	Gemmatimonas
ERR10036469.out	0.007265	12073	401469	Undibacterium
ERR10036469.out	0.007036	11692	28453	Sphingobacterium
ERR10036469.out	0.006942	11535	1827195	Caballeronia
ERR10036469.out	0.006873	11421	75654	Duganella
ERR10036469.out	0.006844	11372	68	Lysobacter
ERR10036469.out	0.006807	11311	2597221	Candidatus Acididesulfobacter
ERR10036469.out	0.006678	11096	209	Helicobacter
ERR10036469.out	0.006554	10890	1344552	Noviherbaspirillum
ERR10036469.out	0.006488	10781	963	Herbaspirillum
ERR10036469.out	0.006459	10733	482	Neisseria
ERR10036469.out	0.006438	10698	106633	Thioalkalivibrio
ERR10036469.out	0.006384	10609	50709	Acidocella
ERR10036469.out	0.006366	10579	2571160	Trinickia
ERR10036469.out	0.006310	10485	101191	Methanomethylovorans
ERR10036469.out	0.006294	10459	434	Acetobacter
ERR10036469.out	0.006129	10184	517	Bordetella
ERR10036469.out	0.006046	10047	1707	Cellulomonas
ERR10036469.out	0.006014	9994	175304	Lentibacillus
ERR10036469.out	0.005885	9779	2705406	Sulfuracidifex
ERR10036469.out	0.005880	9770	357	Agrobacterium
ERR10036469.out	0.005830	9688	35832	Bilophila
ERR10036469.out	0.005788	9618	84567	Pedobacter
ERR10036469.out	0.005759	9569	2220	Methanolobus
ERR10036469.out	0.005701	9473	5884	Paramecium
ERR10036469.out	0.005690	9455	453161	Candidatus Nitrotoga
ERR10036469.out	0.005676	9431	547	Enterobacter
ERR10036469.out	0.005654	9395	1218803	Metallibacterium
ERR10036469.out	0.005636	9365	1751296	Sinirhodobacter
ERR10036469.out	0.005633	9361	1778653	Sulfuriferula
ERR10036469.out	0.005603	9310	673534	Plantactinospora
ERR10036469.out	0.005544	9212	1392997	Candidatus Methanoperedens
ERR10036469.out	0.005540	9205	47204	Pyronema
ERR10036469.out	0.005523	9177	13724	Thiocystis
ERR10036469.out	0.005520	9172	2321	Methanohalobium
ERR10036469.out	0.005473	9095	125216	Roseomonas
ERR10036469.out	0.005467	9085	1350	Enterococcus
ERR10036469.out	0.005345	8881	1234	Nitrospira
ERR10036469.out	0.005326	8851	626	Xenorhabdus
ERR10036469.out	0.005295	8799	191	Azospirillum
ERR10036469.out	0.005287	8785	57493	Kocuria
ERR10036469.out	0.005258	8738	12960	Azoarcus
ERR10036469.out	0.005249	8722	37914	Dietzia
ERR10036469.out	0.005248	8721	5379	Suillus
ERR10036469.out	0.005242	8711	623276	Maritalea
ERR10036469.out	0.005187	8619	2263	Thermococcus
ERR10036469.out	0.005177	8602	1129	Synechococcus
ERR10036469.out	0.005107	8487	129337	Geobacillus
ERR10036469.out	0.005089	8457	407	Methylobacterium
ERR10036469.out	0.005014	8331	872	Desulfovibrio
ERR10036469.out	0.004921	8177	1301	Streptococcus
ERR10036469.out	0.004909	8157	47420	Hydrogenophaga
ERR10036469.out	0.004887	8120	838	Prevotella
ERR10036469.out	0.004848	8056	305976	Pusillimonas
ERR10036469.out	0.004836	8036	2126330	Candidatus Kentron
ERR10036469.out	0.004820	8010	890	Desulfuromonas
ERR10036469.out	0.004810	7993	34067	Cycloclasticus
ERR10036469.out	0.004788	7956	2828348	Occultella
ERR10036469.out	0.004773	7932	2222	Methanothrix
ERR10036469.out	0.004732	7863	28228	Colwellia
ERR10036469.out	0.004728	7857	110932	Leifsonia
ERR10036469.out	0.004695	7801	1279	Staphylococcus
ERR10036469.out	0.004674	7766	2100760	Saccharolobus
ERR10036469.out	0.004670	7760	45989	Methanoculleus
ERR10036469.out	0.004667	7755	3052	Chlamydomonas
ERR10036469.out	0.004610	7661	249529	Caldanaerobacter
ERR10036469.out	0.004605	7652	62608	Thermocladium
ERR10036469.out	0.004571	7596	1298	Deinococcus
ERR10036469.out	0.004553	7565	5754	Acanthamoeba
ERR10036469.out	0.004534	7534	358023	Lutibacter
ERR10036469.out	0.004477	7439	1654	Actinomyces
ERR10036469.out	0.004442	7382	2233	Archaeoglobus
ERR10036469.out	0.004442	7381	283	Comamonas
ERR10036469.out	0.004428	7358	165779	Anaerococcus
ERR10036469.out	0.004411	7329	2172	Methanobrevibacter
ERR10036469.out	0.004367	7256	1253	Pediococcus
ERR10036469.out	0.004335	7204	53246	Pseudoalteromonas
ERR10036469.out	0.004329	7194	5094	Talaromyces
ERR10036469.out	0.004278	7109	5820	Plasmodium
ERR10036469.out	0.004258	7075	44013	Polynucleobacter
ERR10036469.out	0.004246	7056	64968	Marinospirillum
ERR10036469.out	0.004228	7026	53460	Nakamurella
ERR10036469.out	0.004196	6973	182899	Persephonella
ERR10036469.out	0.004170	6929	2980	Tribonema
ERR10036469.out	0.004152	6899	395331	Methanoregula
ERR10036469.out	0.004127	6857	28231	Geobacter
ERR10036469.out	0.004081	6782	535	Chromobacterium
ERR10036469.out	0.004020	6680	413	Methylococcus
ERR10036469.out	0.003998	6643	1203	Scytonema
ERR10036469.out	0.003977	6609	5052	Aspergillus
ERR10036469.out	0.003971	6598	242605	Luteibacter
ERR10036469.out	0.003938	6544	93217	Pandoraea
ERR10036469.out	0.003932	6534	256616	Parvibaculum
ERR10036469.out	0.003913	6503	511745	Methylacidiphilum
ERR10036469.out	0.003851	6399	28067	Rubrivivax
ERR10036469.out	0.003843	6386	38501	Blastococcus
ERR10036469.out	0.003830	6364	2282740	Desulfallas
ERR10036469.out	0.003797	6309	228398	Streptacidiphilus
ERR10036469.out	0.003790	6298	107	Spirosoma
ERR10036469.out	0.003778	6278	305899	Endozoicomonas
ERR10036469.out	0.003774	6271	1643951	Pseudothermotoga
ERR10036469.out	0.003771	6266	48073	Microbulbifer
ERR10036469.out	0.003766	6258	85074	Halochromatium
ERR10036469.out	0.003715	6173	89966	Hymenobacter
ERR10036469.out	0.003706	6158	69578	Cryobacterium
ERR10036469.out	0.003703	6154	81416	Methanofollis
ERR10036469.out	0.003652	6069	940557	Granulicella
ERR10036469.out	0.003643	6053	2040	Aeromicrobium
ERR10036469.out	0.003612	6002	102234	Cyanobacterium
ERR10036469.out	0.003593	5970	570266	Methanocella
ERR10036469.out	0.003592	5968	1073	Rhodopseudomonas
ERR10036469.out	0.003542	5886	2063	Kitasatospora
ERR10036469.out	0.003529	5864	33877	Agromyces
ERR10036469.out	0.003487	5795	43356	Kutzneria
ERR10036469.out	0.003441	5718	1860	Geodermatophilus
ERR10036469.out	0.003414	5673	2420	Thermosipho
ERR10036469.out	0.003397	5644	695999	Actinophytocola
ERR10036469.out	0.003390	5633	363276	Ktedonobacter
ERR10036469.out	0.003340	5550	1156568	Methylovirgula
ERR10036469.out	0.003335	5542	2316	Methanosphaera
ERR10036469.out	0.003320	5516	73029	Dechloromonas
ERR10036469.out	0.003318	5513	1091	Chlorobium
ERR10036469.out	0.003261	5418	400657	Hydrocoleum
ERR10036469.out	0.003253	5406	83618	Pseudoxanthomonas
ERR10036469.out	0.003250	5400	72763	Tessaracoccus
ERR10036469.out	0.003207	5329	85043	Williamsia
ERR10036469.out	0.003200	5318	648800	Solibacillus
ERR10036469.out	0.003194	5308	375288	Parabacteroides
ERR10036469.out	0.003191	5302	613	Serratia
ERR10036469.out	0.003188	5298	682522	Ilumatobacter
ERR10036469.out	0.003181	5286	165301	Lentzea
ERR10036469.out	0.003175	5276	27331	Protomyces
ERR10036469.out	0.003152	5238	40222	Methylophaga
ERR10036469.out	0.003146	5228	2260	Pyrococcus
ERR10036469.out	0.003146	5228	202746	Sulfurimonas
ERR10036469.out	0.003143	5222	2767892	Secundilactobacillus
ERR10036469.out	0.003142	5221	28065	Rhodoferax
ERR10036469.out	0.003140	5217	2192	Methanocorpusculum
ERR10036469.out	0.003128	5198	265	Paracoccus
ERR10036469.out	0.003128	5198	744724	Halarchaeum
ERR10036469.out	0.003124	5191	329857	Cohnella
ERR10036469.out	0.003123	5189	75687	Neptunomonas
ERR10036469.out	0.003120	5185	2794998	Maridesulfovibrio
ERR10036469.out	0.003104	5158	2820403	Rhabdothermincola
ERR10036469.out	0.003094	5141	1060	Rhodobacter
ERR10036469.out	0.003064	5091	85072	Allochromatium
ERR10036469.out	0.003060	5085	73778	Methylocaldum
ERR10036469.out	0.003053	5073	4842	Rhizopus
ERR10036469.out	0.003039	5050	28253	Marinomonas
ERR10036469.out	0.002996	4979	1649642	Oleiagrimonas
ERR10036469.out	0.002992	4971	1030	Thiothrix
ERR10036469.out	0.002972	4938	832	Fibrobacter
ERR10036469.out	0.002905	4828	35829	Acetivibrio
ERR10036469.out	0.002896	4813	666508	Phycisphaera
ERR10036469.out	0.002888	4799	1696	Brevibacterium
ERR10036469.out	0.002873	4774	2675234	Alkalihalobacillus
ERR10036469.out	0.002869	4768	1051	Ectothiorhodospira
ERR10036469.out	0.002865	4761	1322061	Rhizoctonia
ERR10036469.out	0.002864	4759	896	Desulfococcus
ERR10036469.out	0.002856	4745	83677	Thermobifida
ERR10036469.out	0.002855	4744	5179	Sclerotinia
ERR10036469.out	0.002848	4733	4821	Piromyces
ERR10036469.out	0.002833	4708	2795777	Maioricimonas
ERR10036469.out	0.002822	4689	203470	Tepidiphilus
ERR10036469.out	0.002809	4667	400947	Deefgea
ERR10036469.out	0.002794	4642	317661	Quadrisphaera
ERR10036469.out	0.002774	4610	83551	Parachlamydia
ERR10036469.out	0.002769	4602	1021	Beggiatoa
ERR10036469.out	0.002768	4599	2160	Methanobacterium
ERR10036469.out	0.002762	4590	165695	Sphingobium
ERR10036469.out	0.002743	4558	810	Chlamydia
ERR10036469.out	0.002733	4541	5690	Trypanosoma
ERR10036469.out	0.002729	4534	830	Butyrivibrio
ERR10036469.out	0.002729	4534	2489210	Candidatus Aramenus
ERR10036469.out	0.002728	4533	2767842	Lactiplantibacillus
ERR10036469.out	0.002706	4496	1400133	Allobacillus
ERR10036469.out	0.002701	4489	1912216	Cutibacterium
ERR10036469.out	0.002694	4476	22	Shewanella
ERR10036469.out	0.002683	4458	171	Leptospira
ERR10036469.out	0.002669	4435	35798	Nitrosospira
ERR10036469.out	0.002663	4425	352450	Simplicispira
ERR10036469.out	0.002659	4418	59753	Alcanivorax
ERR10036469.out	0.002659	4418	196118	Methanocaldococcus
ERR10036469.out	0.002650	4404	1056	Thiocapsa
ERR10036469.out	0.002626	4364	2005	Microbispora
ERR10036469.out	0.002595	4312	240411	Chitinimonas
ERR10036469.out	0.002589	4302	136491	Atopobacter
ERR10036469.out	0.002586	4297	2017961	Sulfodiicoccus
ERR10036469.out	0.002584	4294	5320	Pleurotus
ERR10036469.out	0.002579	4286	102106	Collinsella
ERR10036469.out	0.002578	4284	65502	Cryptosporangium
ERR10036469.out	0.002542	4224	28050	Lachnospira
ERR10036469.out	0.002532	4208	58120	Planotetraspora
ERR10036469.out	0.002509	4169	79206	Desulfosporosinus
ERR10036469.out	0.002488	4135	528	Ochrobactrum
ERR10036469.out	0.002480	4121	2060	Tsukamurella
ERR10036469.out	0.002480	4121	106591	Ensifer
ERR10036469.out	0.002476	4115	1335483	Shimwellia
ERR10036469.out	0.002460	4087	1155385	Proteiniclasticum
ERR10036469.out	0.002454	4077	2000	Streptosporangium
ERR10036469.out	0.002450	4071	544	Citrobacter
ERR10036469.out	0.002441	4057	41949	Candidatus Microthrix
ERR10036469.out	0.002435	4046	2383	Epulopiscium
ERR10036469.out	0.002423	4026	2767879	Companilactobacillus
ERR10036469.out	0.002418	4018	2370	Xylella
ERR10036469.out	0.002404	3995	102231	Gloeocapsa
ERR10036469.out	0.002404	3995	1884934	Paramaledivibacter
ERR10036469.out	0.002392	3975	29404	Microlunatus
ERR10036469.out	0.002384	3961	44000	Caldicellulosiruptor
ERR10036469.out	0.002373	3944	39773	Methylomicrobium
ERR10036469.out	0.002372	3941	513557	Syntrophorhabdus
ERR10036469.out	0.002364	3928	293088	Martelella
ERR10036469.out	0.002362	3925	117156	Actinopolymorpha
ERR10036469.out	0.002361	3923	41674	Stygiolobus
ERR10036469.out	0.002337	3883	2422	Fervidobacterium
ERR10036469.out	0.002330	3872	762296	Methylovulum
ERR10036469.out	0.002325	3863	47	Archangium
ERR10036469.out	0.002323	3860	20	Phenylobacterium
ERR10036469.out	0.002310	3838	365348	Pelosinus
ERR10036469.out	0.002305	3831	194	Campylobacter
ERR10036469.out	0.002291	3807	2335	Thermotoga
ERR10036469.out	0.002287	3800	2750262	Leekyejoonella
ERR10036469.out	0.002268	3769	226	Alteromonas
ERR10036469.out	0.002256	3749	2034	Curtobacterium
ERR10036469.out	0.002255	3747	2879	Ectocarpus
ERR10036469.out	0.002242	3726	551	Erwinia
ERR10036469.out	0.002234	3712	191494	Conexibacter
ERR10036469.out	0.002207	3667	96	Gallionella
ERR10036469.out	0.002206	3666	79328	Chitinophaga
ERR10036469.out	0.002197	3651	2276	Pyrobaculum
ERR10036469.out	0.002191	3641	1914449	Rugosibacter
ERR10036469.out	0.002186	3633	2949	Symbiodinium
ERR10036469.out	0.002186	3633	233189	Anaerolinea
ERR10036469.out	0.002183	3628	2789775	Actinomarinicola
ERR10036469.out	0.002181	3624	174951	Ramlibacter
ERR10036469.out	0.002160	3589	590	Salmonella
ERR10036469.out	0.002155	3581	349	Zoogloea
ERR10036469.out	0.002148	3570	1347386	Anaerosalibacter
ERR10036469.out	0.002131	3541	2799491	Antrihabitans
ERR10036469.out	0.002124	3530	1843210	Anaerocolumna
ERR10036469.out	0.002119	3521	71655	Brenneria
ERR10036469.out	0.002102	3493	44471	Microcoleus
ERR10036469.out	0.002088	3470	1107	Chloroflexus
ERR10036469.out	0.002081	3458	145260	Methanothermobacter
ERR10036469.out	0.002079	3454	157	Treponema
ERR10036469.out	0.002078	3453	39845	Actinokineospora
ERR10036469.out	0.002075	3448	270	Thermus
ERR10036469.out	0.002069	3438	186650	Microvirga
ERR10036469.out	0.002044	3397	75	Caulobacter
ERR10036469.out	0.002044	3396	414715	Actinospica
ERR10036469.out	0.002038	3386	1101	Prosthecochloris
ERR10036469.out	0.002016	3350	2779861	Linnemannia
ERR10036469.out	0.002005	3331	1064	Rhodocyclus
ERR10036469.out	0.001999	3321	1079922	Commensalibacter
ERR10036469.out	0.001994	3314	59613	Skermania
ERR10036469.out	0.001993	3311	551759	Aromatoleum
ERR10036469.out	0.001983	3295	202907	Collimonas
ERR10036469.out	0.001974	3281	142577	Prauserella
ERR10036469.out	0.001972	3277	118	Planctomyces
ERR10036469.out	0.001972	3277	36862	Ideonella
ERR10036469.out	0.001970	3273	497726	Nitrososphaera
ERR10036469.out	0.001964	3263	105850	Acidilobus
ERR10036469.out	0.001958	3254	60136	Sulfitobacter
ERR10036469.out	0.001943	3228	46254	Oenococcus
ERR10036469.out	0.001940	3223	35823	Arthrospira
ERR10036469.out	0.001940	3223	112040	Zobellia
ERR10036469.out	0.001922	3194	81	Hyphomicrobium
ERR10036469.out	0.001912	3177	40544	Sutterella
ERR10036469.out	0.001900	3157	588605	Robinsoniella
ERR10036469.out	0.001898	3154	441	Gluconobacter
ERR10036469.out	0.001897	3152	2529408	Schaalia
ERR10036469.out	0.001891	3142	469322	Steroidobacter
ERR10036469.out	0.001884	3131	1541670	Methylacidimicrobium
ERR10036469.out	0.001884	3131	2126281	Mycolicibacillus
ERR10036469.out	0.001882	3128	53335	Pantoea
ERR10036469.out	0.001881	3125	2071	Saccharothrix
ERR10036469.out	0.001869	3105	127457	Thiobaca
ERR10036469.out	0.001867	3103	338191	Nitrosopumilus
ERR10036469.out	0.001863	3095	1403714	Parapusillimonas
ERR10036469.out	0.001857	3086	423349	Mucilaginibacter
ERR10036469.out	0.001857	3085	53457	Janibacter
ERR10036469.out	0.001848	3070	2077	Sporolactobacillus
ERR10036469.out	0.001847	3069	50935	Physcia
ERR10036469.out	0.001841	3060	34008	Rhodovulum
ERR10036469.out	0.001835	3050	318147	Paucibacter
ERR10036469.out	0.001833	3046	219181	Ottowia
ERR10036469.out	0.001831	3043	281915	Curvibacter
ERR10036469.out	0.001829	3040	2795779	Rosistilla
ERR10036469.out	0.001828	3038	239759	Alistipes
ERR10036469.out	0.001819	3022	335058	Pelomonas
ERR10036469.out	0.001818	3021	55968	Leucobacter
ERR10036469.out	0.001812	3011	55080	Brevibacillus
ERR10036469.out	0.001803	2996	290425	Advenella
ERR10036469.out	0.001799	2990	458032	Chloracidobacterium
ERR10036469.out	0.001797	2986	893	Desulfobulbus
ERR10036469.out	0.001794	2981	773	Bartonella
ERR10036469.out	0.001789	2973	85079	Thiohalocapsa
ERR10036469.out	0.001789	2972	274591	Hoeflea
ERR10036469.out	0.001787	2970	281472	Jiangella
ERR10036469.out	0.001786	2968	38832	Micromonas
ERR10036469.out	0.001779	2956	104267	Tenacibaculum
ERR10036469.out	0.001779	2956	152267	Pigmentiphaga
ERR10036469.out	0.001778	2954	50714	Acidisphaera
ERR10036469.out	0.001777	2953	2779937	Podila
ERR10036469.out	0.001777	2952	76886	Caldivirga
ERR10036469.out	0.001775	2949	5296	Puccinia
ERR10036469.out	0.001768	2938	246875	Algoriphagus
ERR10036469.out	0.001767	2937	265570	Sulfurovum
ERR10036469.out	0.001767	2937	2767073	Trebonia
ERR10036469.out	0.001767	2936	13134	Magnetospirillum
ERR10036469.out	0.001766	2935	1649465	Luteibaculum
ERR10036469.out	0.001764	2931	58842	Sagittula
ERR10036469.out	0.001762	2928	65551	Meiothermus
ERR10036469.out	0.001756	2918	1569	Sporosarcina
ERR10036469.out	0.001752	2911	312063	Azohydromonas
ERR10036469.out	0.001749	2906	414371	Aureimonas
ERR10036469.out	0.001742	2894	44055	Aureococcus
ERR10036469.out	0.001737	2886	596499	Nitriliruptor
ERR10036469.out	0.001730	2874	32207	Rothia
ERR10036469.out	0.001723	2863	120831	Dyadobacter
ERR10036469.out	0.001716	2851	655184	Candidatus Thioglobus
ERR10036469.out	0.001714	2848	100860	Aphanomyces
ERR10036469.out	0.001712	2844	183669	Macromonas
ERR10036469.out	0.001708	2839	82105	Cladophialophora
ERR10036469.out	0.001707	2837	1998	Planomonospora
ERR10036469.out	0.001702	2829	741759	Tomitella
ERR10036469.out	0.001701	2827	2490452	Serpentinomonas
ERR10036469.out	0.001670	2775	1612157	Pararhodospirillum
ERR10036469.out	0.001657	2753	204037	Dickeya
ERR10036469.out	0.001654	2748	413435	Solimonas
ERR10036469.out	0.001643	2730	2147	Acholeplasma
ERR10036469.out	0.001638	2722	970	Selenomonas
ERR10036469.out	0.001631	2711	1073987	Halorientalis
ERR10036469.out	0.001630	2709	1525371	Neorhizobium
ERR10036469.out	0.001624	2699	65007	Planoprotostelium
ERR10036469.out	0.001621	2693	1760987	Methylomagnum
ERR10036469.out	0.001614	2682	133	Methylocystis
ERR10036469.out	0.001609	2674	1177	Nostoc
ERR10036469.out	0.001602	2662	221427	Polytolypa
ERR10036469.out	0.001592	2645	629	Yersinia
ERR10036469.out	0.001592	2645	39643	Sorangium
ERR10036469.out	0.001585	2634	1855416	Qipengyuania
ERR10036469.out	0.001584	2632	245876	Nitratireductor
ERR10036469.out	0.001584	2632	407217	Aquitalea
ERR10036469.out	0.001583	2631	5073	Penicillium
ERR10036469.out	0.001580	2625	223927	Oxalicibacterium
ERR10036469.out	0.001563	2597	90974	Acrocarpospora
ERR10036469.out	0.001562	2596	71927	Termitomyces
ERR10036469.out	0.001559	2590	16	Methylophilus
ERR10036469.out	0.001559	2590	776	Coxiella
ERR10036469.out	0.001551	2577	5455	Colletotrichum
ERR10036469.out	0.001548	2573	29487	Photorhabdus
ERR10036469.out	0.001547	2570	816	Bacteroides
ERR10036469.out	0.001544	2566	47670	Lautropia
ERR10036469.out	0.001538	2555	168658	Rhodoblastus
ERR10036469.out	0.001527	2537	1273155	Thiohalobacter
ERR10036469.out	0.001526	2536	1229970	Glaciimonas
ERR10036469.out	0.001525	2534	48075	Marinobacterium
ERR10036469.out	0.001524	2533	265975	Oribacterium
ERR10036469.out	0.001514	2515	1511694	Thioalbus
ERR10036469.out	0.001513	2514	467975	Iamia
ERR10036469.out	0.001512	2512	88138	Modestobacter
ERR10036469.out	0.001512	2512	1080709	Methanomassiliicoccus
ERR10036469.out	0.001508	2506	204456	Gemmobacter
ERR10036469.out	0.001506	2503	84565	Sodalis
ERR10036469.out	0.001504	2500	414878	Catenulispora
ERR10036469.out	0.001503	2497	1579505	Rubripirellula
ERR10036469.out	0.001498	2489	57488	Thiorhodococcus
ERR10036469.out	0.001498	2489	1648491	Aquihabitans
ERR10036469.out	0.001497	2488	402649	Actinomycetospora
ERR10036469.out	0.001486	2470	59732	Chryseobacterium
ERR10036469.out	0.001480	2459	256319	Chlorobaculum
ERR10036469.out	0.001465	2435	1434050	Zhongshania
ERR10036469.out	0.001462	2429	2599625	Candidatus Dormibacter
ERR10036469.out	0.001457	2421	4919	Pichia
ERR10036469.out	0.001442	2396	475	Moraxella
ERR10036469.out	0.001437	2388	1434032	Pontimonas
ERR10036469.out	0.001436	2386	57739	Vogesella
ERR10036469.out	0.001430	2377	165697	Sphingopyxis
ERR10036469.out	0.001422	2363	54066	Xylophilus
ERR10036469.out	0.001420	2360	28219	Brachymonas
ERR10036469.out	0.001414	2350	2831443	Heliomicrobium
ERR10036469.out	0.001408	2340	235888	Salinibacterium
ERR10036469.out	0.001407	2338	88	Leptothrix
ERR10036469.out	0.001406	2337	497	Psychrobacter
ERR10036469.out	0.001403	2332	236756	Candidatus Scalindua
ERR10036469.out	0.001403	2331	53357	Intrasporangium
ERR10036469.out	0.001402	2329	1218	Prochlorococcus
ERR10036469.out	0.001400	2327	100715	Chloroherpeton
ERR10036469.out	0.001393	2314	45654	Desulfonema
